"","CO_COMARCA","year_detec"
"1",101,2021
"2",102,0
"3",103,0
"4",104,2018
"5",105,0
"6",106,0
"7",201,0
"8",202,2023
"9",203,0
"10",204,2020
"11",205,2019
"12",206,0
"13",207,2023
"14",301,2015
"15",302,2017
"16",303,2014
"17",304,2013
"18",305,2005
"19",401,0
"20",402,0
"21",403,2014
"22",404,0
"23",405,0
"24",406,0
"25",407,2017
"26",408,2016
"27",501,0
"28",502,0
"29",503,0
"30",504,0
"31",505,0
"32",506,2022
"33",601,2018
"34",602,0
"35",603,0
"36",604,0
"37",605,0
"38",606,0
"39",607,0
"40",608,0
"41",609,0
"42",610,0
"43",611,2018
"44",612,0
"45",801,0
"46",803,2007
"47",806,2009
"48",807,2008
"49",811,2005
"50",813,2005
"51",814,2014
"52",817,2006
"53",821,2006
"54",824,2011
"55",834,2011
"56",840,2004
"57",841,2007
"58",901,0
"59",902,0
"60",903,0
"61",904,0
"62",905,0
"63",906,0
"64",907,0
"65",908,0
"66",1001,2018
"67",1002,0
"68",1003,0
"69",1004,0
"70",1005,0
"71",1006,2018
"72",1007,0
"73",1008,0
"74",1009,0
"75",1010,0
"76",1101,2020
"77",1102,2017
"78",1103,0
"79",1104,2020
"80",1105,2015
"81",1201,2014
"82",1202,2013
"83",1203,2012
"84",1204,2013
"85",1205,2013
"86",1206,2010
"87",1207,2014
"88",1301,0
"89",1302,0
"90",1303,0
"91",1304,0
"92",1305,0
"93",1306,0
"94",1401,0
"95",1402,0
"96",1403,2017
"97",1404,0
"98",1405,0
"99",1406,0
"100",1501,0
"101",1502,0
"102",1503,0
"103",1601,0
"104",1602,0
"105",1603,0
"106",1604,2023
"107",1605,2019
"108",1606,0
"109",1607,0
"110",1702,2008
"111",1710,2008
"112",1715,0
"113",1719,2010
"114",1720,2009
"115",1724,2019
"116",1728,2011
"117",1731,2018
"118",1734,2008
"119",1801,2015
"120",1802,0
"121",1803,0
"122",1804,0
"123",1805,0
"124",1806,0
"125",1807,0
"126",1808,2014
"127",1809,0
"128",1810,2023
"129",1901,0
"130",1902,0
"131",1903,0
"132",1904,0
"133",1905,0
"134",2001,2014
"135",2002,0
"136",2003,0
"137",2004,2018
"138",2005,0
"139",2006,2022
"140",2007,2020
"141",2101,0
"142",2102,0
"143",2103,0
"144",2104,2022
"145",2105,0
"146",2106,2023
"147",2201,2019
"148",2202,0
"149",2203,2023
"150",2204,2015
"151",2205,2016
"152",2206,0
"153",2207,2015
"154",2208,2016
"155",2301,0
"156",2302,0
"157",2303,0
"158",2304,2019
"159",2305,0
"160",2306,2017
"161",2307,0
"162",2308,0
"163",2309,0
"164",2401,0
"165",2402,0
"166",2403,0
"167",2404,0
"168",2405,0
"169",2406,0
"170",2407,0
"171",2408,0
"172",2409,0
"173",2410,0
"174",2503,0
"175",2504,2018
"176",2505,2022
"177",2510,0
"178",2514,0
"179",2515,0
"180",2518,2016
"181",2523,2016
"182",2525,2019
"183",2526,2022
"184",2527,2018
"185",2532,2017
"186",2533,2008
"187",2535,2016
"188",2538,2015
"189",2539,0
"190",2601,2015
"191",2602,0
"192",2603,2022
"193",2604,0
"194",2605,0
"195",2606,0
"196",2701,0
"197",2702,0
"198",2703,0
"199",2704,0
"200",2705,0
"201",2801,0
"202",2802,2020
"203",2803,2014
"204",2804,0
"205",2805,2015
"206",2806,2017
"207",2901,2022
"208",2902,2023
"209",2903,2014
"210",2904,2014
"211",3001,2014
"212",3002,2016
"213",3003,2012
"214",3004,2011
"215",3005,2012
"216",3006,2012
"217",3101,2017
"218",3102,0
"219",3103,0
"220",3104,0
"221",3105,2023
"222",3106,0
"223",3107,2020
"224",3201,0
"225",3202,0
"226",3203,0
"227",3301,0
"228",3302,0
"229",3303,0
"230",3304,0
"231",3305,0
"232",3306,0
"233",3307,0
"234",3308,0
"235",3309,0
"236",3310,0
"237",3401,0
"238",3402,0
"239",3403,0
"240",3404,0
"241",3405,0
"242",3406,0
"243",3407,0
"244",3601,0
"245",3602,2023
"246",3603,0
"247",3604,0
"248",3701,0
"249",3702,0
"250",3703,0
"251",3704,0
"252",3705,0
"253",3706,0
"254",3707,0
"255",3708,0
"256",3901,0
"257",3902,0
"258",3903,0
"259",3904,0
"260",3905,0
"261",3906,0
"262",4001,0
"263",4002,0
"264",4003,0
"265",4101,0
"266",4102,2015
"267",4103,2020
"268",4104,2015
"269",4105,2023
"270",4106,0
"271",4107,0
"272",4201,0
"273",4202,0
"274",4203,0
"275",4204,0
"276",4205,0
"277",4206,0
"278",4207,0
"279",4301,2011
"280",4308,2010
"281",4309,2014
"282",4312,2008
"283",4316,2013
"284",4322,2014
"285",4329,2015
"286",4330,2014
"287",4336,2005
"288",4337,2018
"289",4401,0
"290",4402,2017
"291",4403,2016
"292",4404,0
"293",4405,2014
"294",4406,2017
"295",4501,0
"296",4502,0
"297",4503,2015
"298",4504,0
"299",4505,0
"300",4506,0
"301",4507,0
"302",4601,0
"303",4602,2016
"304",4603,2014
"305",4604,2016
"306",4605,2014
"307",4606,2014
"308",4607,2013
"309",4608,2013
"310",4609,2013
"311",4610,2017
"312",4611,2015
"313",4612,2014
"314",4613,2014
"315",4701,0
"316",4702,0
"317",4703,0
"318",4704,0
"319",4801,0
"320",4802,2016
"321",4803,2019
"322",4804,0
"323",4805,2021
"324",4806,0
"325",4807,0
"326",4901,0
"327",4902,0
"328",4903,0
"329",4904,0
"330",4905,0
"331",4906,0
"332",5001,0
"333",5002,0
"334",5003,2017
"335",5004,2015
"336",5005,2015
"337",5006,0
"338",5007,2016
